"년월일","호기","총량","평균","최대","최소","최대(시간별)","최소(시간별)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2013-01-10","2","93803.00","3908.00","5474.00","1979.00","5474.00","1979.00","5173.00","5010.00","5474.00","3674.00","3543.00","4397.00","4173.00","2904.00","1979.00","2276.00","3186.00","4675.00","4486.00","4867.00","5198.00","5154.00","3781.00","2120.00","2156.00","4803.00","4043.00","2384.00","5073.00","3274.00"
"2013-01-11","1","37613.00","1567.00","7489.00","0","7489.00","6","3665.00","7489.00","4497.00","6038.00","4497.00","4027.00","3006.00","1235.00","698","167","18","12","0","20","6","0","0","0","0","0","0","56","1001.00","1181.00"
"2013-01-11","2","31660.00","1319.00","6951.00","0","6951.00","3","4180.00","6951.00","4415.00","5147.00","4008.00","2313.00","1897.00","734","430","117","21","4","0","3","15","0","0","0","0","0","0","33","487","905"
"2013-01-12","1","27033.00","1126.00","2644.00","6","2644.00","6","461","45","6","328","486","2134.00","1914.00","783","1025.00","584","8","192","162","1035.00","1775.00","1146.00","2170.00","1234.00","2026.00","2644.00","2408.00","1534.00","1031.00","1902.00"
"2013-01-12","2","24100.00","1004.00","2605.00","18","2605.00","18","381","43","19","296","579","2126.00","1831.00","817","922","387","18","172","196","792","1277.00","1006.00","1715.00","1111.00","1883.00","2605.00","2310.00","1449.00","903","1262.00"
"2013-01-13","1","50770.00","2115.00","4987.00","202","4987.00","202","1381.00","907","1432.00","653","306","786","837","202","329","733","945","1694.00","2806.00","3194.00","3954.00","2586.00","2458.00","2535.00","4043.00","2206.00","3056.00","3783.00","4957.00","4987.00"
"2013-01-13","2","30065.00","1253.00","3205.00","85","3205.00","85","849","590","879","391","193","464","508","85","151","441","670","1220.00","1829.00","1660.00","2166.00","1391.00","1343.00","1337.00","2339.00","1272.00","1738.00","2195.00","3149.00","3205.00"
"2013-01-14","1","197990.00","8250.00","11902.00","2998.00","11902.00","2998.00","5021.00","5575.00","5812.00","4888.00","5520.00","4853.00","6123.00","9066.00","9699.00","11902.00","11855.00","11872.00","10339.00","9790.00","9862.00","9983.00","9628.00","10773.00","8996.00","2998.00","5165.00","9930.00","8029.00","10311.00"
"2013-01-14","2","136572.00","5691.00","7953.00","2219.00","7953.00","2219.00","3101.00","3497.00","4190.00","2648.00","3152.00","2808.00","3824.00","6464.00","7032.00","7857.00","7943.00","7838.00","7811.00","7803.00","7858.00","7953.00","7472.00","7252.00","5963.00","2219.00","3355.00","6500.00","5185.00","6847.00"
"2013-01-15","1","56099.00","2337.00","10360.00","0","10360.00","17","10360.00","9654.00","10294.00","8387.00","3934.00","2774.00","2855.00","2065.00","828","108","26","0","0","0","17","0","0","0","67","0","0","453","2225.00","2052.00"
"2013-01-15","2","37530.00","1564.00","7022.00","0","7022.00","3","6744.00","6257.00","7022.00","5645.00","2412.00","1786.00","1747.00","1119.00","481","62","0","0","0","5","23","7","0","0","131","3","0","405","1972.00","1709.00"
"2013-01-16","1","138212.00","5759.00","9797.00","1067.00","9797.00","1067.00","2908.00","3459.00","5277.00","5215.00","4333.00","5043.00","1349.00","1651.00","1067.00","2986.00","2944.00","3596.00","2585.00","5287.00","7432.00","9033.00","9416.00","9288.00","9546.00","9797.00","9424.00","9245.00","8782.00","8549.00"
"2013-01-16","2","101475.00","4228.00","6833.00","605","6833.00","605","2513.00","3144.00","4690.00","4330.00","3437.00","3099.00","860","1052.00","605","1914.00","2509.00","3262.00","2238.00","4482.00","5534.00","6833.00","6694.00","6717.00","6398.00","6342.00","6295.00","6208.00","6164.00","6155.00"
"2013-01-17","1","258044.00","10752.00","11918.00","8605.00","11918.00","8605.00","10174.00","10914.00","10419.00","9145.00","9308.00","9795.00","8605.00","10257.00","11361.00","11707.00","11797.00","11874.00","11918.00","11893.00","11257.00","9957.00","9902.00","10339.00","11780.00","11779.00","11895.00","11737.00","10029.00","10202.00"
"2013-01-17","2","175542.00","7314.00","7953.00","5740.00","7953.00","5740.00","6946.00","7421.00","6866.00","5894.00","5971.00","6516.00","5740.00","6872.00","7591.00","7788.00","7852.00","7936.00","7950.00","7943.00","7874.00","7953.00","7909.00","7832.00","7814.00","7883.00","7919.00","7732.00","6601.00","6739.00"
"2013-01-18","1","187882.00","7828.00","11854.00","1999.00","11854.00","1999.00","9139.00","9472.00","10874.00","11701.00","11854.00","10530.00","10893.00","8965.00","9265.00","9821.00","8572.00","8098.00","8861.00","9954.00","9091.00","7236.00","6239.00","5758.00","2524.00","1999.00","4918.00","5182.00","3627.00","3309.00"
"2013-01-18","2","133091.00","5545.00","7732.00","1693.00","7732.00","1693.00","5942.00","6103.00","7295.00","7726.00","7732.00","6991.00","7045.00","5772.00","6090.00","6287.00","5738.00","5727.00","6596.00","7322.00","6891.00","6073.00","5473.00","4609.00","2091.00","1693.00","3970.00","3970.00","3185.00","2770.00"
"2013-01-19","1","52619.00","2192.00","4776.00","92","4776.00","92","4776.00","3402.00","92","1165.00","790","1105.00","262","192","314","1668.00","3072.00","2953.00","2458.00","2084.00","2624.00","2297.00","3726.00","3645.00","3219.00","3085.00","2620.00","2586.00","2402.00","2082.00"
"2013-01-19","2","43803.00","1825.00","4108.00","152","4108.00","152","4108.00","2622.00","152","1461.00","965","1115.00","343","319","407","1151.00","2562.00","2129.00","1620.00","1454.00","1938.00","1874.00","3021.00","3064.00","2617.00","2542.00","2110.00","2293.00","2183.00","1753.00"
"2013-01-20","1","21915.00","913","3657.00","0","3657.00","36","1232.00","1408.00","568","36","0","0","0","0","0","0","0","64","377","1424.00","1907.00","811","375","692","1180.00","1286.00","1739.00","2807.00","2352.00","3657.00"
"2013-01-20","2","16681.00","695","2869.00","0","2869.00","20","1171.00","1052.00","431","41","0","0","0","0","0","0","20","128","244","955","1281.00","368","180","378","936","923","1629.00","2254.00","1821.00","2869.00"
"2013-01-21","1","117789.00","4908.00","10576.00","226","10576.00","226","5083.00","6047.00","5510.00","5915.00","7356.00","5665.00","5389.00","2975.00","4540.00","10576.00","8288.00","881","3299.00","756","1020.00","259","226","1201.00","7076.00","8653.00","4664.00","5523.00","8147.00","8740.00"
"2013-01-21","2","82654.00","3444.00","6460.00","99","6460.00","99","3865.00","5111.00","4121.00","4716.00","5544.00","4054.00","3951.00","1996.00","2783.00","5635.00","5114.00","722","2168.00","371","1017.00","99","182","1002.00","4612.00","5829.00","2886.00","4299.00","6117.00","6460.00"
"2013-01-22","1","174313.00","7263.00","11978.00","1234.00","11978.00","1234.00","8870.00","8434.00","9109.00","11306.00","11978.00","11476.00","11080.00","9447.00","7431.00","7559.00","11028.00","11936.00","10312.00","10236.00","7287.00","6605.00","3559.00","2014.00","1907.00","1234.00","1274.00","2892.00","3054.00","4285.00"
"2013-01-22","2","125958.00","5248.00","7987.00","925","7987.00","925","6230.00","6075.00","6939.00","7806.00","7987.00","7855.00","7845.00","7162.00","5389.00","5443.00","7166.00","7898.00","6810.00","7349.00","5802.00","5803.00","2690.00","1507.00","1121.00","925","950","2507.00","3017.00","3682.00"
"2013-01-23","1","77977.00","3249.00","5356.00","1487.00","5356.00","1487.00","3625.00","3859.00","3328.00","3995.00","3168.00","3596.00","4521.00","4406.00","5356.00","4613.00","4952.00","4522.00","1487.00","2331.00","2440.00","3042.00","4343.00","2166.00","1836.00","3508.00","1542.00","1575.00","1835.00","1931.00"
"2013-01-23","2","64570.00","2690.00","3957.00","1270.00","3957.00","1270.00","3517.00","3128.00","3047.00","3156.00","2449.00","2275.00","2897.00","2664.00","3370.00","2790.00","3394.00","3957.00","1270.00","2443.00","2959.00","3035.00","3896.00","1910.00","1837.00","3046.00","1521.00","1817.00","1945.00","2247.00"
"2013-01-24","1","106273.00","4428.00","10892.00","431","10892.00","431","1712.00","2802.00","2548.00","5848.00","4948.00","3994.00","3197.00","431","1900.00","764","2296.00","2972.00","4572.00","6516.00","6474.00","2348.00","982","1144.00","5366.00","7363.00","8706.00","8188.00","10310.00","10892.00"
"2013-01-24","2","84202.00","3508.00","7242.00","609","7242.00","609","2168.00","1974.00","2642.00","6186.00","4963.00","3435.00","2985.00","609","1925.00","859","1951.00","2686.00","3840.00","5187.00","4203.00","1656.00","670","802","3817.00","5326.00","6471.00","5807.00","6798.00","7242.00"
"2013-01-25","1","150079.00","6253.00","10589.00","118","10589.00","118","9274.00","8403.00","8374.00","8470.00","9052.00","8397.00","7716.00","8339.00","8616.00","10589.00","10315.00","9593.00","8838.00","7620.00","7103.00","5916.00","4859.00","3970.00","2605.00","1139.00","296","118","265","212"
"2013-01-25","2","102567.00","4274.00","6916.00","100","6916.00","100","6247.00","5792.00","5803.00","5615.00","5708.00","5690.00","4977.00","5519.00","5697.00","6916.00","6853.00","6549.00","6008.00","5283.00","5090.00","4356.00","3690.00","2791.00","1901.00","999","326","100","359","298"
